DwellingType,ZoneType,LotFrontage,LotArea,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,MasonryVeneerArea,ExteriorQuality,ExteriorCondition,Foundation,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1,BasementFinishedType1Area,BasementFinishedType2,BasementFinishedType2Area,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualityFinishedArea,AboveGroundLivingArea,BasementFullBathrooms,BasementHalfBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Functional,Fireplaces,FireplaceQuality,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSeasonPorchArea,ScreenPorch,PoolArea,PoolQuality,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalUsedArea,NonbuiltArea,BuiltAreaRatio,PorchArea,IsDuplex,SoldAfterRemodel,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,LivingAreaCondition,BasementAreaCondition,GarageAreaCondition
1-STORY 1946 & NEWER ALL STYLES,Residential High Density,80,11622,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NAmes,Feedr,Norm,Single-family Detached,1Story,5,6,1961,1961,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,2,2,Cinder Block,3,3,1,Average Rec Room,468,Low Quality,144,270,882,GasA,2,1,SBrkr,896,0,0,896,0,0,1,0,2,1,2,5,Typ,0,0,Attchd,1961,1,1,730,3,3,2,140,0,0,0,120,0,0,Minimum Privacy,None,0,6,2010,WD,Normal Sale,,2508,9996,0.0770951643434865,120,0,0,49,0.0,2.0,49,0.006883496816382722,0.041300980898296334,179.2,2,730.0,2190,2646,4480,5376,2646,2190
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,81,14267,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,6,6,1958,1958,Hip,Two-family Conversion,Wood Siding,Wood Siding,Brick Face,108,2,2,Cinder Block,3,3,1,Average Living Quarters,923,Unfinshed,0,406,1329,GasA,2,1,SBrkr,1329,0,0,1329,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1958,1,1,312,3,3,2,393,36,0,0,0,0,0,No Fance,2nd Garage,12500,6,2010,WD,Normal Sale,,2970,12626,0.09315202915819724,36,0,0,52,0.0,1.5,52,0.005677437443050396,0.03406462465830238,221.5,2,312.0,936,3987,7974,7974,3987,936
2-STORY 1946 & NEWER,Residential Low Density,74,13830,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,5,5,1997,1998,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,2,2,Poured Contrete,4,3,1,Good Living Quarters,791,Unfinshed,0,137,928,GasA,3,1,SBrkr,928,701,0,1629,0,0,2,1,3,1,2,6,Typ,1,3,Attchd,1997,3,2,482,3,3,2,212,34,0,0,0,0,0,Minimum Privacy,None,0,3,2010,WD,Normal Sale,,3039,12420,0.11778741865509762,34,1,1,12,6.138735420503376E-4,1.0,13,0.005350686912509038,0.02675343456254519,271.5,2,241.0,1446,3712,8145,8145,2784,1446
2-STORY 1946 & NEWER,Residential Low Density,78,9978,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,6,6,1998,1998,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,20,2,2,Poured Contrete,3,3,1,Good Living Quarters,602,Unfinshed,0,324,926,GasA,4,1,SBrkr,926,678,0,1604,0,0,2,1,3,1,3,7,Typ,1,4,Attchd,1998,3,2,470,3,3,2,360,36,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,3000,8582,0.16075365804770494,36,1,0,12,6.234413965087282E-4,1.0,12,0.007817197835237523,0.04690318701142514,229.14285714285714,3,235.0,1410,2778,9624,9624,2778,1410
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,43,5005,Paved,Not Alley Access,Slightly irregular,Hillside,All public Utilities,Inside,Gentle,StoneBr,Norm,Norm,Townhouse End Unit,1Story,8,5,1992,1992,Gable,Two-family Conversion,Hard Board,Hard Board,NA,0,3,2,Poured Contrete,4,3,1,Average Living Quarters,263,Unfinshed,0,1017,1280,GasA,4,1,SBrkr,1280,0,0,1280,0,0,2,0,2,1,3,5,Typ,0,0,Attchd,1992,2,2,506,3,3,2,0,82,0,0,144,0,0,No Fance,None,0,1,2010,WD,Normal Sale,,3066,3219,0.25574425574425574,226,0,0,18,0.0,1.0,18,0.008591408591408592,0.04295704295704296,256.0,2,253.0,1518,5120,10240,6400,3840,1518
2-STORY 1946 & NEWER,Residential Low Density,75,10000,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,6,5,1993,1994,Gable,Two-family Conversion,Hard Board,Hard Board,NA,0,2,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,763,763,GasA,3,1,SBrkr,763,892,0,1655,0,0,2,1,3,1,2,7,Typ,1,3,Attchd,1993,3,2,440,3,3,2,157,84,0,0,0,0,0,No Fance,None,0,4,2010,WD,Normal Sale,,2858,8797,0.1655,84,1,1,16,6.042296072507553E-4,1.0,17,0.0075,0.0375,236.42857142857142,3,220.0,1320,3052,9930,8275,2289,1320
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,7980,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,6,7,1992,2007,Gable,Two-family Conversion,Hard Board,Hard Board,NA,0,2,3,Poured Contrete,4,3,1,Average Living Quarters,935,Unfinshed,0,233,1168,GasA,4,1,SBrkr,1187,0,0,1187,1,0,2,0,3,1,2,6,Typ,0,0,Attchd,1992,3,2,420,3,3,2,483,21,0,0,0,0,0,Good Privacy,Shed,500,3,2010,WD,Normal Sale,,2775,6373,0.1487468671679198,21,0,1,3,0.0,1.5,18,0.0,0.0,197.83333333333334,2,210.0,1260,4672,7122,8309,3504,1260
2-STORY 1946 & NEWER,Residential Low Density,63,8402,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,6,5,1998,1998,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,2,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,789,789,GasA,3,1,SBrkr,789,676,0,1465,0,0,2,1,3,1,2,7,Typ,1,4,Attchd,1998,3,2,393,3,3,2,0,75,0,0,0,0,0,No Fance,None,0,5,2010,WD,Normal Sale,,2647,7220,0.17436324684598906,75,1,0,12,6.825938566552901E-4,1.0,12,0.007498214710783147,0.03749107355391573,209.28571428571428,3,196.5,1179,3156,8790,7325,2367,1179
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,85,10176,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,7,5,1990,1990,Gable,Two-family Conversion,Hard Board,Hard Board,NA,0,2,2,Poured Contrete,4,3,4,Good Living Quarters,637,Unfinshed,0,663,1300,GasA,3,1,SBrkr,1341,0,0,1341,1,0,1,1,2,1,3,5,Typ,1,1,Attchd,1990,1,2,506,3,3,2,192,0,0,0,0,0,0,No Fance,None,0,2,2010,WD,Normal Sale,,3147,8329,0.1317806603773585,0,0,0,20,7.457121551081282E-4,1.0,20,0.008352987421383648,0.04176493710691824,268.2,2,253.0,1518,5200,9387,6705,3900,1518
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70,8400,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,4,5,1970,1970,Gable,Two-family Conversion,Plywood,Plywood,NA,0,2,2,Cinder Block,3,3,1,Average Living Quarters,804,Average Rec Room,78,0,882,GasA,2,1,SBrkr,882,0,0,882,1,0,1,0,2,1,2,4,Typ,0,0,Attchd,1970,3,2,525,3,3,2,240,0,0,0,0,0,0,Minimum Privacy,None,0,4,2010,WD,Normal Sale,,2289,6993,0.105,0,0,0,40,0.0,2.0,40,0.008333333333333333,0.041666666666666664,220.5,1,262.5,1575,2646,3528,4410,2646,1575
