LotFrontage,LotArea,OverallQuality,OverallConditions,YearBuilt,YearRemodel,MasonryVeneerArea,ExteriorQuality,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1Area,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,AboveGroundLivingArea,BasementFullBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Fireplaces,FireplaceQuality,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,PoolArea,PoolQuality,SalePrice,TotalUsedArea,NonbuiltArea,IsDuplex,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,DwellingType,ZoneType,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,Foundation,BasementFinishedType1,BasementFinishedType2,Heating,Electrical,Functional,GarageType,Fence,MiscFeature,SaleType,SaleCondition
65,8450,7,5,2003,2003,196,3,4,3,1,706,150,856,4,1,856,854,1710,1,2,1,3,1,3,8,0,0,2003,2,2,548,3,3,2,0,0,0,208500,3114,7046,1,5,0.0,1.0,5,0.007692307692307693,0.038461538461538464,213.75,4,274.0,1644,3424,11970,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
80,9600,6,8,1976,1976,0,2,4,3,4,978,284,1262,4,1,1262,0,1262,0,2,0,3,1,2,6,1,3,1976,2,2,460,3,3,2,298,0,0,181500,2984,7878,0,31,7.92393026941363E-4,1.5,31,0.008333333333333333,0.06666666666666667,210.33333333333334,2,230.0,1380,5048,7572,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,Veenker,Feedr,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Cinder Block,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
68,11250,7,5,2001,2002,162,3,4,3,2,486,434,920,4,1,920,866,1786,1,2,1,3,1,3,6,1,3,2001,2,2,608,3,3,2,0,0,0,223500,3314,9722,1,6,5.599104143337066E-4,1.0,7,0.006044444444444444,0.03022222222222222,297.6666666666667,2,304.0,1824,3680,12502,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
60,9550,7,5,1915,1970,0,2,3,4,1,216,540,756,3,1,961,756,1717,1,1,0,3,1,3,7,1,4,1998,1,3,642,3,3,2,0,0,0,140000,3115,7947,1,36,5.824111822947001E-4,3.0,91,0.0062827225130890054,0.031413612565445025,245.28571428571428,3,214.0,1926,2268,12019,2-STORY 1945 & OLDER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Crawfor,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Wood Siding,Wood Shingles,NA,Brick & Tile,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Abnormal Sale
84,14260,8,5,2000,2000,350,3,4,3,3,655,490,1145,4,1,1145,1053,2198,1,2,1,4,1,3,9,1,3,2000,2,3,836,3,3,2,192,0,0,250000,4179,12279,1,8,4.5495905368516835E-4,1.3333333333333333,8,0.005890603085553997,0.029453015427769985,244.22222222222223,4,278.6666666666667,2508,4580,17584,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,FR2,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
85,14115,5,5,1993,1995,0,2,4,3,1,732,64,796,4,1,796,566,1362,1,1,1,1,1,2,5,0,0,1993,1,2,480,3,3,2,40,0,0,143000,2638,12839,1,14,0.0,0.5,16,0.0060219624512929506,0.030109812256464752,272.4,3,240.0,1440,3184,6810,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Mitchel,Norm,Norm,Single-family Detached,1.5Fin,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Wood,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,Minimum Privacy,Shed,WD,Normal Sale
75,10084,8,5,2004,2005,186,3,5,3,3,1369,317,1686,4,1,1694,0,1694,1,2,0,3,1,3,7,1,4,2004,2,2,636,3,3,2,255,0,0,307000,4016,7754,0,2,5.903187721369539E-4,1.5,3,0.007437524791749306,0.03718762395874653,242.0,3,318.0,1908,8430,13552,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
0,10382,7,6,1973,1973,240,2,4,3,2,859,216,1107,4,1,1107,983,2090,1,2,1,3,1,2,7,2,3,1973,2,2,484,3,3,2,235,0,0,200000,3681,8791,1,36,9.569377990430622E-4,1.0,36,0.0,0.0,298.57142857142856,3,242.0,1452,4428,14630,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NWAmes,PosN,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Hard Board,Hard Board,Stone,Cinder Block,Average Living Quarters,Below Average Living Quarters,GasA,SBrkr,Typ,Attchd,No Fance,Shed,WD,Normal Sale
51,6120,7,5,1931,1950,0,2,3,3,1,0,952,952,3,1,1022,752,1774,0,2,0,2,2,2,8,2,3,1931,1,2,468,2,3,2,90,0,0,129900,3194,4630,1,58,0.0011273957158962795,1.0,77,0.008333333333333333,0.041666666666666664,221.75,4,234.0,936,2856,12418,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,OldTown,Artery,Norm,Single-family Detached,1.5Fin,Gable,Two-family Conversion,Brick Face,Wood Shingles,NA,Brick & Tile,Unfinshed,Unfinshed,GasA,FuseF,Min1,Detchd,No Fance,None,WD,Abnormal Sale
50,7420,5,6,1939,1950,0,2,3,3,1,851,140,991,4,1,1077,0,1077,1,1,0,2,2,2,5,2,3,1939,2,1,205,4,3,2,0,0,0,118000,2273,6138,0,58,0.0018570102135561746,2.0,69,0.006738544474393531,0.04043126684636119,215.4,1,205.0,820,2973,5385,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,BrkSide,Artery,Artery,Two-family Conversion,1.5Unf,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Brick & Tile,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
70,11200,5,5,1965,1965,0,2,3,3,1,906,134,1040,4,1,1040,0,1040,1,1,0,3,1,2,5,0,0,1965,1,1,384,3,3,2,0,0,0,129500,2464,9776,0,43,0.0,3.0,43,0.00625,0.03125,208.0,1,384.0,1152,3120,5200,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Hard Board,Hard Board,NA,Cinder Block,Average Rec Room,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
85,11924,9,5,2005,2006,286,4,5,3,1,998,177,1175,4,1,1182,1142,2324,1,3,0,4,1,4,11,2,4,2005,3,3,736,3,3,2,147,0,0,345000,4235,10006,1,0,8.605851979345956E-4,1.3333333333333333,1,0.007128480375712848,0.03564240187856424,211.27272727272728,6,245.33333333333334,2208,5875,20916,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,Hip,Two-family Conversion,Wood Shingles,Wood Shingles,Stone,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,BuiltIn,No Fance,None,New,Partial
0,12968,5,6,1962,1962,0,2,3,3,1,737,175,912,2,1,912,0,912,1,1,0,2,1,2,4,0,0,1962,1,1,352,3,3,2,140,0,0,144000,2176,11704,0,46,0.0,2.0,46,0.0,0.0,228.0,1,352.0,1056,2736,4560,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Moderately Irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Hard Board,Plywood,NA,Cinder Block,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
91,10652,7,5,2006,2007,306,3,4,3,3,0,1494,1494,4,1,1494,0,1494,0,2,0,3,1,3,7,1,4,2006,2,3,840,3,3,2,160,0,0,279500,3828,8318,0,0,6.693440428380187E-4,1.5,1,0.008542996620352985,0.04271498310176493,213.42857142857142,3,280.0,2520,5976,10458,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,New,Partial
0,10920,6,5,1960,1960,212,2,3,3,1,733,520,1253,2,1,1253,0,1253,1,1,1,2,1,2,5,1,2,1960,2,1,352,3,3,2,0,0,0,157000,2858,9315,0,48,7.980845969672786E-4,1.0,48,0.0,0.0,250.6,2,352.0,1056,3759,7518,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Metal Siding,Metal Siding,Brick Face,Cinder Block,Below Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,Good Wood,None,WD,Normal Sale
